Name,obs_time,Primary eclipse observable?,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time
K2-233 b,2021-06-03 00:48:29.952009,TRUE,1.9690007999999999 h,4950.0 K,8.968,30,90.75943558,0,156.3359257,230,230
K2-233 b,2021-05-29 02:22:12.864009,TRUE,1.9690007999999999 h,4950.0 K,8.968,30,90.75943558,0,156.3359257,230,230
K2-233 b,2021-05-19 05:29:38.688009,TRUE,1.9690007999999999 h,4950.0 K,8.968,30,90.75943558,0,156.3359257,230,230
K2-233 b,2021-05-14 07:03:21.600009,TRUE,1.9690007999999999 h,4950.0 K,8.968,30,90.75943558,0,156.3359257,230,230
K2-233 b,2021-04-17 03:38:47.616009,TRUE,1.9690007999999999 h,4950.0 K,8.968,30,90.75943558,0,156.3359257,230,230
K2-233 b,2020-06-20 02:55:25.248009,TRUE,1.9690007999999999 h,4950.0 K,8.968,30,90.75943558,0,156.3359257,230,230
K2-233 b,2020-06-25 01:21:42.336009,TRUE,1.9690007999999999 h,4950.0 K,8.968,30,90.75943558,0,156.3359257,230,230
GJ 9827 c,2020-07-21 08:46:31.704318,TRUE,1.82496 h,4340.0 K,7.984,28,90.75943558,0,156.3359257,230,230
GJ 9827 c,2020-08-01 07:26:18.109758,TRUE,1.82496 h,4340.0 K,7.984,28,90.75943558,0,156.3359257,230,230
GJ 9827 c,2020-08-12 06:06:04.515198,TRUE,1.82496 h,4340.0 K,7.984,28,90.75943558,0,156.3359257,230,230
GJ 9827 c,2020-08-23 04:45:50.920638,TRUE,1.82496 h,4340.0 K,7.984,28,90.75943558,0,156.3359257,230,230
GJ 9827 c,2020-11-15 02:30:46.695678,TRUE,1.82496 h,4340.0 K,7.984,28,90.75943558,0,156.3359257,230,230
TOI-270 c,2020-12-04 02:05:01.766392,TRUE,1.6579992 h,3386.0 K,9.099,25,90.75943558,0,156.3359257,230,230
TOI-270 c,2020-11-17 02:33:05.183992,TRUE,1.6579992 h,3386.0 K,9.099,25,90.75943558,0,156.3359257,230,230
GJ 357 b,2021-02-23 06:23:14.496017,TRUE,1.53 h,3505.0 K,7.337,23,90.75943558,0,156.3359257,230,230
GJ 357 b,2021-03-03 03:03:42.912017,TRUE,1.53 h,3505.0 K,7.337,23,90.75943558,0,156.3359257,230,230
GJ 357 b,2021-03-07 01:23:57.120017,TRUE,1.53 h,3505.0 K,7.337,23,90.75943558,0,156.3359257,230,230
GJ 357 b,2021-05-01 02:07:16.032017,TRUE,1.53 h,3505.0 K,7.337,23,90.75943558,0,156.3359257,230,230
GJ 357 b,2020-12-30 05:39:55.584017,TRUE,1.53 h,3505.0 K,7.337,23,90.75943558,0,156.3359257,230,230
GJ 357 b,2020-12-26 07:19:41.376017,TRUE,1.53 h,3505.0 K,7.337,23,90.75943558,0,156.3359257,230,230
GJ 357 b,2021-05-05 00:27:30.240017,TRUE,1.53 h,3505.0 K,7.337,23,90.75943558,0,156.3359257,230,230
WASP-140 b,2020-10-10 04:23:00.299215,TRUE,1.5144000000000002 h,5260.0 K,9.609,23,90.75943558,0,156.3359257,230,230
WASP-140 b,2021-01-12 02:15:17.224015,TRUE,1.5144000000000002 h,5260.0 K,9.609,23,90.75943558,0,156.3359257,230,230
