Name,obs_time,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time,rank
WASP-140 b,2020-11-17 04:33:35.540083,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,4761.0
WASP-140 b,2020-11-08 05:54:21.143151,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,4761.0
WASP-140 b,2020-10-01 05:39:11.408450,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,4761.0
WASP-140 b,2020-09-22 07:00:38.892477,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,4761.0
TOI-270 b,2021-02-05 03:12:17.668579,1.3870008 h,3386.0 K,9.099,21,90.75943557587073,0.0,156.33592570258094,230,230,3969.0
TOI-270 b,2020-12-03 06:58:07.206828,1.3870008 h,3386.0 K,9.099,21,90.75943557587073,0.0,156.33592570258094,230,230,3969.0
TOI-270 b,2020-10-27 07:54:09.738875,1.3870008 h,3386.0 K,9.099,21,90.75943557587073,0.0,156.33592570258094,230,230,3969.0
TOI-270 b,2020-11-23 05:02:23.559426,1.3870008 h,3386.0 K,9.099,21,90.75943557587073,0.0,156.33592570258094,230,230,3969.0
TOI-270 b,2020-11-13 03:06:44.443478,1.3870008 h,3386.0 K,9.099,21,90.75943557587073,0.0,156.33592570258094,230,230,3969.0
TOI-270 b,2020-12-30 04:07:02.924797,1.3870008 h,3386.0 K,9.099,21,90.75943557587073,0.0,156.33592570258094,230,230,3969.0
TOI-270 b,2020-10-17 05:58:43.131401,1.3870008 h,3386.0 K,9.099,21,90.75943557587073,0.0,156.33592570258094,230,230,3969.0
TOI-270 b,2020-09-10 06:56:00.417101,1.3870008 h,3386.0 K,9.099,21,90.75943557587073,0.0,156.33592570258094,230,230,3969.0
TOI-270 b,2020-12-20 02:11:09.107634,1.3870008 h,3386.0 K,9.099,21,90.75943557587073,0.0,156.33592570258094,230,230,3969.0
LTT 1445 A b,2020-12-06 05:36:32.503052,1.3776 h,3337.0 K,7.294,21,90.75943557587073,0.0,156.33592570258094,230,230,2646.0
LTT 1445 A b,2020-09-22 05:02:42.127385,1.3776 h,3337.0 K,7.294,21,90.75943557587073,0.0,156.33592570258094,230,230,2646.0
LTT 1445 A b,2020-10-08 06:51:51.783481,1.3776 h,3337.0 K,7.294,21,90.75943557587073,0.0,156.33592570258094,230,230,2646.0
